Is a deque capable of inserting and deleting elements at both ends?,A: Yes, B: No, A
Can a priority queue be implemented using a binary search tree?,A: Yes, B: No, A
Is a skip list used for fast searching insertion and deletion operations?,A: Yes, B: No, A
Does a max-heap maintain the maximum element at the root?,A: Yes, B: No, A
Is the time complexity of inserting an element in an AVL tree O(log n)?,A: Yes, B: No, A
Can a graph be directed or undirected?,A: Yes, B: No, A
Does an adjacency matrix use O(V^2) space for a graph with V vertices?,A: Yes, B: No, A
Is a Fibonacci heap used in network optimization algorithms?,A: Yes, B: No, A
Can a circular linked list be singly or doubly linked?,A: Yes, B: No, A
Is a binary search tree a special case of a binary tree?,A: Yes, B: No, A
Does a linked list allow for efficient random access?,A: Yes, B: No, B
Is a trie also known as a prefix tree?,A: Yes, B: No, A
Can a doubly linked list be traversed in both directions?,A: Yes, B: No, A
Does a depth-first search use a stack for its implementation?,A: Yes, B: No, A
Is an AVL tree a type of balanced binary search tree?,A: Yes, B: No, A
Can a hash table provide O(1) average time complexity for search operations?,A: Yes, B: No, A
Is a splay tree self-adjusting to bring recently accessed elements closer to the root?,A: Yes, B: No, A
Does Dijkstra's algorithm work on graphs with negative weights?,A: Yes, B: No, B
Can a graph with no edges be considered a forest?,A: Yes, B: No, B
Is a binary heap a complete binary tree?,A: Yes, B: No, A
Can a Bloom filter determine the definite absence of an element?,A: Yes, B: No, A
Is the degree of a vertex in a graph the number of edges connected to it?,A: Yes, B: No, A
Does an adjacency list require less space than an adjacency matrix for sparse graphs?,A: Yes, B: No, A
Is a ternary search tree (TST) used for storing strings?,A: Yes, B: No, A
Does a binary search tree guarantee O(log n) search time without self-balancing?,A: Yes, B: No, B
Can a graph be traversed using both BFS and DFS algorithms?,A: Yes, B: No, A
Is a spanning tree connected and acyclic?,A: Yes, B: No, A
Does a breadth-first search use a queue for its implementation?,A: Yes, B: No, A
Is a circular queue implemented using an array or linked list?,A: Yes, B: No, A
Can a self-balancing tree adjust itself after insertion and deletion operations?,A: Yes, B: No, A
Is a B+ tree a balanced tree that maintains sorted data and allows for efficient insertion deletion and search operations?,T: True, F: False, T
Can a stack be used to reverse a string?,T: True, F: False, T
Is a directed acyclic graph (DAG) used in representing scheduling problems?,T: True, F: False, T
Does a suffix array provide a space-efficient solution for string matching problems?,T: True, F: False, T
Can a hash table handle collisions using open addressing?,T: True, F: False, T
Is a min-heap a complete binary tree where each node is smaller than its children?,T: True, F: False, T
Does Kruskal's algorithm use a greedy approach to find a minimum spanning tree?,T: True, F: False, T
Can a multigraph have loops (edges connected to the same vertex)?,T: True, F: False, T
Is a null graph a graph with no vertices and no edges?,T: True, F: False, F
Can a binary search tree become unbalanced without rotations or balancing mechanisms?,T: True, F: False, T
Is a heap used to implement a priority queue?,T: True, F: False, T
Can a stack support both push and pop operations?,T: True, F: False, T
Does a depth-first search traverse all vertices of a graph?,T: True, F: False, T
Is a doubly linked list more space-efficient than a singly linked list?,T: True, F: False, F
Can a graph have both directed and undirected edges?,T: True, F: False, F
Is an adjacency list more space-efficient than an adjacency matrix for dense graphs?,T: True, F: False, F
Does a B-tree minimize the number of disk accesses?,T: True, F: False, T
Can a binary tree have zero one or two children per node?,T: True, F: False, T
Is a sparse graph a graph with relatively few edges compared to the number of vertices?,T: True, F: False, T
